province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
MANİSA,2008,97.996,224.522,473.981,40.974,120.673,149.400,50.042,2.337,45.335,1.205.260
MANİSA,2013,38.571,229.700,403.414,44.934,236.866,183.376,97.199,5.790,5.909,1.245.759
MANİSA,2018,28.694,130.017,423.082,157.375,174.274,231.288,144.733,11.414,4.502,1.305.379
MANİSA,2023,23.948,124.721,388.639,233.258,110.930,281.367,185.796,19.509,4.754,1.372.922
MARDİN,2008,108.707,222.460,92.916,12.050,75.780,63.538,11.880,847,49.854,638.032
MARDİN,2013,67.387,218.849,86.884,13.841,143.681,77.363,33.927,1.904,19.546,663.382
MARDİN,2018,57.290,116.922,158.940,108.106,94.129,98.912,58.642,4.395,9.481,706.817
MARDİN,2023,47.980,117.767,149.050,172.353,41.774,152.340,78.456,9.900,8.255,777.875
MERSİN,2008,105.467,306.166,429.138,63.190,150.926,227.985,78.269,3.940,83.111,1.448.192
MERSİN,2013,39.985,333.606,361.205,63.262,286.256,265.370,145.592,8.864,26.529,1.530.669
MERSİN,2018,33.974,187.612,431.490,216.466,190.006,321.767,210.803,18.371,13.750,1.624.239
MERSİN,2023,32.664,183.923,404.646,315.507,110.629,403.838,288.459,32.663,18.617,1.790.946
MUĞLA,2008,31.576,117.950,266.395,29.381,66.406,115.880,47.792,2.587,45.402,723.369
MUĞLA,2013,16.890,117.693,229.057,32.109,132.049,142.561,86.985,6.240,20.110,783.694
MUĞLA,2018,13.231,67.377,247.589,102.276,96.518,190.408,140.865,13.870,9.214,881.348
MUĞLA,2023,11.902,68.920,230.581,147.528,59.651,250.200,199.208,24.470,11.401,1.003.861
MUŞ,2008,59.310,132.959,44.290,5.439,31.864,23.809,4.753,250,38.499,341.173
MUŞ,2013,31.946,136.328,42.729,5.904,69.923,33.686,15.587,853,13.259,350.215
